공원,영문명,국가,대륙,언어,섹터,보도일,제목,요약,매체,링크
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,기타,2026-04-14,[브리프] 한화 호반그룹 계룡건설 한미글로벌,"■한미글로벌, 자회사 오택, 美 국립공원 프로젝트 수주 오택이 수행한 미국 와이오밍주 옐로스톤 국립공원 캐니언 림 트레일 전망대 설계 및 개선사업 | 한미글로벌 글로벌 PM(건설사업관리) 전문 기업 한미글로벌...",biztribune.co.kr,http://www.biztribune.co.kr/news/articleView.html?idxno=352360
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,기타,2026-04-14,"한미글로벌 자회사 오택, 美국립공원관리청과 4억 달러 계약 체결",오택이 수행한 미국 와이오밍주 옐로스톤 국립공원 캐니언 림 트레일·전망대 설계 및 개선사업 한미글로벌은 오택이 미국 내무부 산하 NPS와 총 4억달러(약 6000억원) 규모의 계약을 체결했다고 14일 밝혔다. 계약...,edaily.co.kr,http://www.edaily.co.kr/news/newspath.asp?newsid=03991766645416120
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,기타,2026-04-14,"'15년 미국 공략' 결실…한미글로벌 자회사, 6000억 미 국립공원 개선 사...",오택이 수행한 미국 와이오밍주 옐로스톤 국립공원 캐니언 림 트레일·전망대 설계 및 개선사업./사진=한미글로벌 14일 건설업계에 따르면 오택은 최근 미국 내무부 산하 국립공원관리청(NPS)과 체결했다. 오택은 향후...,mediapen.com,https://www.mediapen.com/news/view/1093256
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,자원보전,2026-04-14,"""자연은 움직여야 산다...기후 대응 열쇠는 서식지 연결""",미국 국립공원관리청에 따르면 옐로스톤 생태계는 지구에서 거의 온전하게 보전된 대규모 온대 생태계 중 하나로 꼽힌다. 그러나 개발이 진행되면서 야생동물 이동 경로는 점차 끊겨 왔다. 특히 곰과 늑대 같은 대형...,newspenguin.com,https://www.newspenguin.com/news/articleView.html?idxno=21501
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,행정,2026-04-14,"글로벌 PM 한미글로벌 자회사 오택, 美 연방정부 인프라 사업 수주",오택 옐로스톤 국립공원 캐니언 림 트레일·전망대 설계 및 개선사업 [사진=한미글로벌] 해당 프로젝트의 핵심은 미국 전역에 자리한 국립공원의 낡은 기반 시설을 손보고 유지 및 보수하는 것이다. 구체적으로...,newspim.com,https://www.newspim.com/news/view/20260414000392
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,구조활동,2026-04-14,"한미글로벌, 美 공공 인프라 공략 성과…자회사 오택, 국립공원 프로젝...","오택이 수행한 미국 와이오밍주 옐로스톤 국립공원 캐니언 림 트레일·전망대 설계 및 개선사업 사진=한미글로벌 제공 프로젝트 관리부터 건축·조경 설계, 토목·구조·전기·기계·지반 엔지니어링, 환경·문화자원...",wemakenews.co.kr,http://wemakenews.co.kr/news/view.php?no=25074
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,기타,2026-04-14,"한미글로벌 자회사 오택, 美 국립공원 프로젝트 수주…약 6000억 규모",오택이 수행한 미국 와이오밍주 옐로스톤 국립공원 캐니언 림 트레일·전망대 설계 및 개선사업 [사진=한미글로벌] 글로벌 PM(건설사업관리) 전문기업 한미글로벌의 미국 자회사 오택(OTAK)이 미국 내무부 산하...,paxetv.com,http://www.paxetv.com/news/articleView.html?idxno=269488
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,기타,2026-04-14,"한미글로벌 자회사 오택, 미국 국립공원 프로젝트 수주...5년간 6000억원",오택이 수행한 미국 와이오밍주 옐로스톤 국립공원 캐니언 림 트레일·전망대 설계 및 개선사업. 사진=한미글로벌 한미글로벌의 미국 자회사 오택(OTAK)이 미국 내무부 산하 국립공원관리청(NPS)이 발주한 건설...,weekly.hankooki.com,https://weekly.hankooki.com/news/articleView.html?idxno=7159747
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,기타,2026-04-14,"한미글로벌, 美 국립공원 프로젝트 수주…""오택 앞세워 공공 인프라 공...",오택이 수행한 미국 와이오밍주 옐로스톤 국립공원 캐니언 림 트레일·전망대 설계 및 개선사업 현장 모습. (사진=한미글로벌) 14일 건설업계에 따르면 한미글로벌의 미국 자회사 오택은 국립공원관리청이 발주한 용역...,asiatime.co.kr,https://www.asiatime.co.kr/article/20260414500046
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,기타,2026-04-14,"한미글로벌, 미국 공공 인프라 시장 지속 확대한다… 자회사 오택, 美 국...","점에서 의미가 크다""며 ""오택을 필두로 앞으로 미국 공공 인프라 시장에서의 입지를 더욱 확대해 나가겠다""고 밝혔다. 오택이 수행한 미국 와이오밍주 옐로스톤 국립공원 캐니언 림 트레일∙전망대 설계 및 개선사업.",ikld.kr,http://www.ikld.kr/news/articleView.html?idxno=332797
빅벤드 국립공원,Big Bend National Park,미국,북아메리카,한국어,탐방시설,2026-04-14,"아르테미스 2호 성공 기념, 미 관광청 추천 '우주 여행지'는?",우주 탐사 기술보다 우주 관측에 관심이 많다면 텍사스주 빅벤드 국립공원을 추천한다. 선명한 은하수를 관측할 수 있는 ‘다크 스카이(빛공해가 없는 하늘)’ 명소로 꼽힌다. 미시간주 헤드랜즈 다크스카이 공원은 유성우...,hankookilbo.com,https://www.hankookilbo.com/news/article/A2026041417180002315?did=NA
그랜드티턴 국립공원,Grand Teton National Park,미국,북아메리카,영어,기타,2026-04-14,Grand Teton National Park: Summer 2026 opening dates - Buckrail,,"Jackson Hole, news",https://news.google.com/rss/articles/CBMifkFVX3lxTE0xbWlzU25Mc3Jzd21iVTZ0YzlaTUJEMmt0c1FfaWVxVzQ3VDJ5NjFTeXRPN2NvSEpoTVhfYVgzU0NJX1RxZklIczdEQ3BaQm9hY3VqQVh4aDRwa1FqXzlSUEE4eFdOT3N0cVlZemNCWHNMTnMyOV9ES2pEa1Zldw?oc=5
크레이터 레이크 국립공원,Crater Lake National Park,미국,북아메리카,영어,기타,2026-04-14,Crater Lake National Park names Curt Dimmick as superintendent,,Herald and News,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQM1A0SzhNbHhzVmRQNzJXeEdGRFNSQm5mZ0M2Z3Z0RkdpcGtrRFZQdUFRWTJTNFBNa05YTTdiX1QtVE0taTRpdUpPYWJMOGRJdjFTMTNYSW84ZWFlN2R0LTVDYXE2Z1J0N2ZHSElMWks0Ukl5bnZ5cUprNVIwSk9MUDdiUk9Ba2hrRnBWbHROdDFyTldqYkZ3WF9Eekg1eWRJSXdPNXZ6WnQ0TTB2Q3E2cVBGSnk2N3ZSOE5JeWJqWERlU2dvNktKT2RYZVFaSVdDM1ZiOG1xTE1nSy1tZnA4RA?oc=5
카카두 국립공원,Kakadu National Park,오스트레일리아,오세아니아,영어,기타,2026-04-14,Four men charged over theft of hundreds of crocodile eggs from Kakadu National Park after intense police p,,The Economic Times,https://news.google.com/rss/articles/CBMingJBVV95cUxQVzdrTGJKNm8zcGZlUG5LWk9rOUo4VzhzMjlITVBwVy1RS19uTFozUUd4bkxGUlpiWlUzekZVR0VLQldHRmZrQzRfcmtzbktQUUhLLXd1ejFmajlYcTJqSDNlRW9qcjVnbGUzSHM1TUdQT0I0Y1RSenF1TmgxRzBHNVJNMDczeEV6QWNuazc3c0JWUEtSR0Q5SFE3VnFVa3VBTlFad0M5UU1HdGZfcWQwQlk4cEVCLWlNT08yUHBJa1pXTTl6ei1ncHotWVd2aXVKU3J3REFNTnN6aElRcWJsbURJMDZnVVBrVTR1S1Q4RkUySjVvZFBpb3dUYTBlbmowWkZfV3pHOExackhrOGViR2lZYnVtdWEwTWx2b0hR0gGjAkFVX3lxTFBmWGlFa1hBY1ZHWlV1eDBlNFBhQ0pITEExWmpIRW1QSzlBdHI3eldKUWR4c182VmI0aXA4azQ1V3ZkNElHUDlqMUEtVHVMSTJMb2QweGdMaU85TUxyU3V1SGpVU0hjN1ZDaS1kdzEwei1ONTIyVWZFS2xQclEwVEk0RmJrQWxzalZxNzNLV2hGeVJxRmREeWZlU1RZbnpjYUpsNlZ4OFJleWJUakZSU1pfcEJLeFlFUmg5NmxheE9kOVFmUlE2eWtHVjBCV3UweXhfTFRpUS01WmhzcHRwcDc3ekRNb292RW9BSWJjdV9hZ183VVhvTmktYUF6a1hzZGJCNXFDQjF6TXRTTzcxbWtHVldRVll0OTVzaE42SkVZUjJ2QQ?oc=5
카카두 국립공원,Kakadu National Park,오스트레일리아,오세아니아,영어,기타,2026-04-14,Four face charges of stealing crocodile eggs in Kakadu,,Nine.com.au,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOZ0NQWVI4c3lQZkNKLXJhU01KV0ptZ2h6a29YT2RiN1JrWVFONXQ1bExCNEpxdVZRYklnd0xfLUlpOG1ZTkJNczBvWlRtc1BGMXdlX1A5bDRQMVZ3cVRNdmNPeFlpYUJGVVVpUWpHWms2N3pnMUo1Z3Q4UXdad1VzRHdpVHFqTGtKNDRCQWlwR19fV3Rrcko3UmpteFBzNzJ1dG5xT3h4YjE5R19GY21XSE0xYi04M2li?oc=5
카카두 국립공원,Kakadu National Park,오스트레일리아,오세아니아,영어,기타,2026-04-14,‘Gone are the days of getting lost’: Kakadu phone upgrade complete,,NT News,https://news.google.com/rss/articles/CBMi-AFBVV95cUxQM21kQmM3NjE2d3VOdURHN1B3VXNzRUs0aGdCTDhfbVN1bmF2eWV3UkpJR2cxNjYxdjVNT1Yyc1ExM0tiUDZkczdRejFDQnBzNHE3MHp2QndOY2hTZFhCSXdIb3NrVVdlXzgzTnhIZDI1Vi1YVEVLSzJxZlZsQV9UOWg2MThhVXdiOXI1YUxIOVZXNEVFQWJVRTFUQlJOQzFxVW5ZSWFubkdNd2ljSjhHUGU1X3RScmh0T0JKWmhKTGZiZ0twQ0s5ajFDMElKM0p6U21GeGs1d0hRUjMxMjFBWUFfaW94S2RwMlZYclZRa1VzX2E4R2s0UA?oc=5
자이언 국립공원,Zion National Park,미국,북아메리카,영어,기타,2026-04-14,Stargazing opportunities at Zion National Park during Dark Sky Week,,ABC4 Utah,https://news.google.com/rss/articles/CBMijAFBVV95cUxQMkIwUGNxSC1NTzJSTUhUX0gtOUxPcDZzaFJIUUl1TDR3ZWk5MGsweDZ3X1laV3J2bGY3ZjVGTzFvVFZLZGZKZ2dGNXpZNzRXUG9qMG9QWkJVQTNJMjJha1VudU92RU5mQ3NJelBhcEFiaEMxYVpzZkNxLVY5RkNCcklfanQ5NmdxbmtHTtIBkgFBVV95cUxOSkxlbVI4eXpTb2F6bW9KSURYMXNvdnk4SklJTU9aMlc4NlljYWRfZ0dqRnlRMzRGLTdDYUVoU3pvM0Fmci1kb3hFYWRjS01sYUQxUk5tZTVIbFhFdTVsSDdVZ256MUJBS2RKNGZsU1QtMHJrLW1ocjdKbDlybkNENVVmMjQ3YXRaa3k1d0pEN3hJZw?oc=5
로키마운틴 국립공원,Rocky Mountain National Park,미국,북아메리카,영어,기타,2026-04-14,"Living Dream, The: 100 Years of Rocky Mountain National Park",,KPBS,https://news.google.com/rss/articles/CBMimwFBVV95cUxQbjktWm42b1JlOHdpQzRXdkxrYjhGZ2NEN0ZJQm1iVUY2Zkhwc1Vka0RhbHdnenFlck92dTVVUnVURHFLaWVfcnBSM2Z6WFhXXzZzemJpaUZTZ25xTXc4dmxWMUZUaTFCNzBOeHNHM2VzSHNCeHFGdm5lekNpN2JFdFZ0ZDVDeUgtSXM2SHdPRGwyMWl1VVgtdlBiYw?oc=5
아케디아 국립공원,Acadia National Park,미국,북아메리카,영어,기타,2026-04-14,What to Expect this Spring and Summer at Acadia National Park. - Bar Harbor Story | Carrie Jones | Substack,,Bar Harbor Story | Carrie Jones | Substack,https://news.google.com/rss/articles/CBMigAFBVV95cUxPQVJBc2pTdnRwVU1FVjJSZDFDZ18wMXpnNTNIODlWcl9vTC02YlhfODVlMXMwdlgyWFhwelVwOVhhWUVqcGxwOHFxR3F4bk0xRURaMVlUdHdNTjA1ck1kQkRyZk5GV0k0YUN1eHVNSDQ0OXhLM1h4eWZHeGJ5MTN0Zw?oc=5
아케디아 국립공원,Acadia National Park,미국,북아메리카,영어,탐방시설,2026-04-14,Acadia National Park Urges Visitors to Plan Ahead for a Busy 2026 Season,,Unofficial Networks,https://news.google.com/rss/articles/CBMigAFBVV95cUxNLWhGbUlWZllSb3o3Q3o3YkFlVm5IU2lPTEFlMF9sZ1ktYUZYZnFIeWlTTDBmSFZtc2syVmVkRUNSQmliOWxUOFh5cWh1RUtvQ0hrenlfTG51Vm4xLXBaWEtMOU91YXYyeDFFR3BLQkJ3UGQzRm55WWRxcW83M2J6cw?oc=5
올림픽 국립공원,Olympic National Park,미국,북아메리카,영어,기타,2026-04-14,3 Magical Spots You Didn’t Know Existed in Olympic National Park,,Only In Your State,https://news.google.com/rss/articles/CBMijgFBVV95cUxQbG85NlpzSXIxZDhETURFSVZaZlRwS1kySnBwdXU0Nm5VVjZNWlhVaFpzSGJpWVlFWFVsck52ZktOTzFmdWV6TjhpWU9aUjZmZFpvVC16UlJMZmNPWEp6OXlvVXlKNlkxVDNya2cxeHhzZjlxZ0FiTG81dEREX2ZNUnN3X0hCLTU4OU5OYm5B?oc=5
블루마운틴스 국립공원,Blue Mountains National Park,오스트레일리아,오세아니아,영어,기타,2026-04-14,Smoke on the horizon: Days of strategic burns to sweep through Blue Mountains,,Blue Mountains Gazette,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOY0JtUHZ1dEx6QWt0VjJWeHNfU2pncjJOampxblRKYkExdEY1aGg4Q3M5eC02cXdlYkNpVkQtUVBZY1ZrVGlSem14c3FCMXpLZnAxdzc3RFllOEFUenZfcnVpLXhMUV9OMWpWbEl6VDJ0eHR4bXltYXpyTW5POUw4Q1NRVWdqZ3Q2X1QxUEVMY2N3cTdCQnR5WGFUUk9xdlRweHJfQTM0QlZBQ0VDOXduanhRNnQ4UG54V0JZUUpGXzAxaDQ?oc=5
Jim Corbett,Jim Corbett National Park,인도,아시아,영어,기타,2026-04-14,Step inside this idyllic Jim Corbett resort that's a natural haven and just 5 hours from Delhi | Travel,,Hindustan Times,https://news.google.com/rss/articles/CBMi9AFBVV95cUxQYlRBNnQwczM2MWl1X2MyYzlyYTBfRGdpNzNBNDVvRURzdUdWZ1ZsVk01UFhQRktLR1FiSlAzZllYcEE3dVAzM3pQbzkyNkN5dXNKNXBISzhTbXNBak50MnIwYkgzUWNsWURqNlYyUWJET2hucWRQSFZfN1FvczFMSVh5cmpHRmdyUDB1VjF3QkZDdllGakN2UVVTUDlfM1NzTTRTU0t6TWNHaGZjQng0MmwtQ3gwZUM4Q1lyRy04THB1Q0VySXQ0ei1LOWh0SGVfdFBSQ19ORTFFODhfenJ3SVZYaWE1bGtkMWQtZENFYXdJdGNy0gH6AUFVX3lxTFBadDZucVdOOExIX2dZMk41cU1UbzZlZENJYk1aTXBaZ1FGYXFWMmctZEtBSDAwVDBDSzYyZDhRTE1yU3pFeXR5Q2JxODlteGNvZzV5MWR6WFRvVndNTzZGVkdKRURTcGxxRVlTRDBxeE1ITUJFQU1hMWRTVkd1WnphcDd1WjhkVUhjamdBUVkxVWhrVDhfT1dVREZmaU9ONnNxb0t2cDRidGtFNGtualRzWTRSRlJrT0V4UHN0cmxRNWZ1ck9ob19oN0lzY0RVeEdxZllpTVlqN2UxeE1URTlrelMzVVViWnljVGZYWEpWUE8wQWNvNURrU2c?oc=5
Serengeti,Serengeti National Park,탄자니아,아프리카,영어,구조활동,2026-04-14,Mara: The river between life and death in the Serengeti,,The Tanzania Times,https://news.google.com/rss/articles/CBMigwFBVV95cUxPNU5kUlNFSi14eFR5eG1aOVoyM3llUjhXbFdrdzFiamQ1ZlZJaDhOYVlKek81WGRGcVE2YTIxeUNoUmpVNUhic0dqXzJ4OHZ2dWxZbVlqdUJISFVybnJZNlExN0FGSG9oSWdEZEd6ZGJvTGxPS0I4bDNjOG9mRDZNaWdfTQ?oc=5
스위스 국립공원,Swiss National Park,스위스,유럽,한국어,기타,2026-04-13,"제주올레 서명숙이 정한 비문 ""쉿, 여왕님 깨실라""","2010년부터 스위스 레만호수 와인길, 영국 내셔널 트레일인 코츠월드 웨이, 캐나다 브루스 트레일 구간 등과... 남국선원은 서귀포시 천연계곡 돈내코에서 산쪽으로 약 2km 정도 올라간 한라산 국립공원의 경계에 자리잡은...",ohmynews.com,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003223560&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
이과수 국립공원,Iguazú National Park,아르헨티나,남아메리카,한국어,자원보전,2026-04-13,“한 달에 남미 일주”…시니어 장기여행 상품 주목,"잉카 문명 유적부터 파타고니아의 빙하, 이과수 폭포에 이르기까지 남미를 대표하는 자연과 도시 문화를... 토레스 델 파이네 국립공원의 장대한 자연경관과 함께, 아르헨티나 엘칼라파테에서는 파타고니아의 상징적인...",koreadaily.com,https://www.koreadaily.com/article/20260412122923999
밴프 국립공원,Banff National Park,캐나다,북아메리카,한국어,탐방시설,2026-04-13,스크린 속 그곳으로 떠나다...지금 가장 뜨거운 '셋 제팅(Set-Jetting)' 여행...,"밴프 국립공원의 중심 마을인 밴프 타운은 로키 여행의 거점으로, 아기자기한 거리와 웅장한 산세가 공존한다. 캐스케이드 오브 타임 정원에서는 캐스케이드산을 배경으로 펼쳐지는 장엄한 풍경을 감상할 수 있으며...",tournews21.com,https://www.tournews21.com/news/articleView.html?idxno=133599
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,한국어,자원보전,2026-04-13,잡히지 않는 늑대 '늑구'... 우리에게 남겨진 과제,미국 옐로스톤 국립공원에서는 1920년대 늑대가 사라진 이후 사슴 개체 수가 급증하며 식생이 훼손되고 하천 주변 생태계까지 영향을 받았다. 이후 1995년 늑대 14마리를 다시 방사하면서 변화가 나타났다. 늑대는 사슴의...,ohmynews.com,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003223778&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
재스퍼 국립공원,Jasper National Park,캐나다,북아메리카,영어,기타,2026-04-13,"🌸 Spring is in full swing in Jasper, and the park is coming alive in the most beautiful ways. Fresh growth, longer days, rushing rivers— there’s no better time to step outside and reconnect with nature. Looking for a little inspiration to get out there? 🌿 Revisit our V",,facebook.com,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNYzMzcHVaTnZLa2NwV2QwZVJ1UjJqZWJJWG9IZ2xLdW91MlBxMlBQemNxOVh2dDFybnMwQmVnekstRHRnSXFxM3dtbTNTMDcxLWRWdHlfMU82OWRkM1pMelNLVGtMa09oVm1QNEhfb2hOZDl0azFDODVZTzVKemxPRW9oU2hCNFRlOU04bWRoem45eWlpS1hKWlZiRnF1OFJ0a0c0ampBRlZ2VFpmUVBhTzZQSVBHQ0Q5Vk1iOEt4RmZoTE9Ka3BQUFpHOUhvUTJHR1RyQg?oc=5
셰넌도어 국립공원,Shenandoah National Park,미국,북아메리카,영어,재난안전,2026-04-13,Fire ban announced for Shenandoah National Park,,cbs19news.com,https://news.google.com/rss/articles/CBMixwFBVV95cUxNa29jZWM1c29xek5WZHBfS3BobHhGUGpTSFBIUjlOWkZoeWRDSjJteTlwQlJYQWxSUXhDMFBOanhsVmZTYWt6a1gxR2czUWFkS192Zmk1aWZXdTUwSzBDUGtSX05IbWxkSUpMZElTdUJaSU1jRHhVSVNYdUFxckhWSUdjT3RFVk9Pa2J0ekd1UFJ0X1ZITm5vMzl3TXBOMmVMNjFPSWlqZFFUWVQ0QmRJTnNQcC1tb3dxeFdHVV9JUHdjdzhJUGtF?oc=5
Calanques,Calanques National Park,프랑스,유럽,영어,탐방시설,2026-04-13,"In the Calanques of Marseille, this prehistoric site—whose entrance is now underwater—fascinates with its drawings dating back more than 30,000 years—and can be visited thanks to a faithful reconstruction",,Marseille Secrète,https://news.google.com/rss/articles/CBMirwJBVV95cUxPcFY5VDNCQndtUWIyN3FQN0I3RXJBdEhick43RFl3cUM2NXpIa21PNUFsRWtGeUlEc0NuY21tSW1IdUpHRURhTVpwQ0lUaDFxODFodnlQNFdWOEc4QWJITkRjTWMzeklmN3JHWVZTeUwzZG1TSTVmZHRXdmpVanZILUo4SjhiaFJzREROdzZRakdBWVAwSHRXa2E2UTdPVm9iaFI2MExIdllOOXZoSWE5Z252aGtPem5UdFRMZUNZc2x0czM3ZU9sQUN0Tk9UMUpqMU14amJfaWtYSnVGUEVKMl9fN2NZd1lVVDkyc1h0ZjBsQVV2Vzk0amNhTXpGOGFJUUg0MXViX1RGT0JHQ1BXNTJvS3ZmNjZQUEpPQXRaU0hDOGlpeEtqTldkVjdXVWM?oc=5
Lake District,Lake District National Park,영국,유럽,영어,기타,2026-04-13,Mysterious Lake District barn joins national treasures on heritage list,,The Guardian,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOTkFWNGdVTmVIVVBQYVNRb3Q1anR1elN6SHFHZFVLXzNITGZOSFJQY19LbUJGeHhrbFgyQjBBeE5rdmlGSnV4LVBONkVMMDB2SzJpTFh5QzhkZXNVbXpOX1dRUlk0UF9abFZhRGozVlBURkZScVRfX1VJZl95RDM1RER3SWJuNjN0XzBHcUxlXzZwZ1hWdFpVRHFqU2xrb0V3Tjl4LVJkaGs?oc=5
그랜드 캐니언 국립공원,Grand Canyon National Park,미국,북아메리카,한국어,기타,2026-04-12,"성난 근육처럼 울끈불끈, 이것은 바위인가 산인가","▲ 자이언 캐니언 국립공원 동쪽 입구 표지판 : 공원길이 붉은색 아스팔트로 포장되어 있다 ⓒ 설지원... 그랜드 캐니언과 마찬가지로 이 지역도 한때 바다였던 지역이 솟아오르면서 고원을 이루었고, 수천만 년 동안...",ohmynews.com,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003222126&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
올림픽 국립공원,Olympic National Park,미국,북아메리카,한국어,기타,2026-04-12,"노량진뉴타운·상도동 정비사업 맞물린 '상도역 대우 엑소디움', 사전 청...","올림픽대로, 강변북로, 서부간선도로 등 주요 도로망 접근도 가능하다. 생활 인프라로는 상도역 일대 상권을... 상도근린공원, 국립서울현충원, 한강 등 녹지 공간도 주변에 위치하며 도보 통학이 가능한 학군도...",jeonmin.co.kr,http://www.jeonmin.co.kr/news/articleView.html?idxno=437656
에버글레이즈 국립공원,Everglades National Park,미국,북아메리카,영어,기타,2026-04-12,Why Visiting Everglades National Park at Night Is Better Than Day,,Only In Your State,https://news.google.com/rss/articles/CBMid0FVX3lxTE82WWJBN2VsUXNXb0RDQjdFcWt0MTZKY25XWFNtMUdacTJPOTRKVnE5QmRrXzhKbjBhVVhZZkZjMWtUeHI1SDNpNk15TmF0MTZnbW03ZTkxa1hNalB2MmpUd3ZSQUtJZ2dPM3VxUEt3b3NYTU5rbllV?oc=5
조슈아트리 국립공원,Joshua Tree National Park,미국,북아메리카,영어,기타,2026-04-12,Joshua Tree National Park: Worth the PCT Side Quest?,,The Trek,https://news.google.com/rss/articles/CBMilAFBVV95cUxPdllMazFHWmZjNjVPZFFCNk9Lb3E3NUg4N2s3ZnNJZTVzZkxlaTdBUU1oOV9iTUhjb0owZ1FQQ3lKRkE5NkxWT2prckpSaWs3V2hTUUpfdFZ3T25jcWdDR0dodVh5UHV2TEROX1RIaUtoaHYtQ3hmbnBQOHJvYnZLc2MteU56QmduVUhUZTBKcVBuZEFj?oc=5
스노도니아 국립공원,Eryri National Park,영국,유럽,영어,기타,2026-04-12,'Crazy' new curbs at 11 Eryri car parks spark alarm among walkers and villagers,,North Wales Live,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQdGxRN1haMDNpa3hOWUxwWEYyblZVLTg2UHpmaU9hUE04SFRLYkFvMnlfVHhPV2pzd0tUejJqYlJPTHlDR01KTzEzWncwTGs3cE8tblRlZXNnc2RLUjduN1JaSEdaSVJVTlB3bWJGUTVjOWw1LWFreGlhQnp1UG5jZVNsTkExMzZ4S1Nv?oc=5
브라이스 캐니언 국립공원,Bryce Canyon National Park,미국,북아메리카,영어,구조활동,2026-04-11,"Bryce Canyon, other Nat’l Park visitors urged to gauge hiker hydration needs",,Gephardt Daily,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNbFpyUEFCZkVEZWRIS3ozVmZuSXhJUVVqV1BOVEgtUkJFYVJFTDZTRGhRa3h0dDRaMkhnaUU4dWpidU9iZ1ZRQy02aGVSOHpVdjRnMl9Lc1RBc0RzclM1eG82a2M4YzJSeDZvSnZ4ODNGa29XMUd2eUdIUlBYUXUxZjY3eFNtWW9UZUFYeGhWWlFFLU5VZkdlNElpWVlRQUVqUDF0bE9PVm03ZU0?oc=5
크레이터 레이크 국립공원,Crater Lake National Park,미국,북아메리카,영어,재난안전,2026-04-11,"Crater Lake snowpack collapse could fuel fires, reshape ecosystem",,SFGATE,https://news.google.com/rss/articles/CBMiigFBVV95cUxNX21PYTJzaXk5OGNKS2JyOU5qZ2VPSTFzT1luRHpIRFo4aE15VWVteG9JOGhGbXUxQ2l3NkRqdVVJSlIyZl94dVczbTQ5OVJlWFRwYVBnY2xQYXpLZ195c0IydU9XeHlPZjFuTHo0OWZpdWItaGdBTmVJTmZUeG9NMVJVdzhCejVlVWc?oc=5
카카두 국립공원,Kakadu National Park,오스트레일리아,오세아니아,영어,기타,2026-04-11,Taste of Kakadu Festival 2026: A Celebration of the World’s Oldest Living Culture,,Ocean Road Magazine,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOMmZaWEkwdURsTFpSTnVjN3ZpYi1RZ0pNTTRkcXdzMVhfalhIUUdWUFRqbF9RWG11QTFLMDNLOTVBY096RGxQcjBpc1VrUDdzY09yQnozVnpwaW1ROHBKM1hmTUpTaVhQemh4cWkyc1pkRUVKNkt3dmFRUHp4NENQLUV4TDVVVVd6N0pBNmxBeXBrTFN3U1BpNVBabnI3c0xaVmEyUHNHWHl1RWxMMjM2dGl3ZnRRSUF5?oc=5
치트완 국립공원,Chitwan National Park,네팔,아시아,영어,재난안전,2026-04-11,Adult female rhino killed by army gunfire in Chitwan National Park,,Ratopati,https://news.google.com/rss/articles/CBMijAFBVV95cUxPVE1QLVVEUGtBdXExT2xvVW1mSUMxcEdsd1ozOHk4N3RkUlo4RmRsbElSay1lWjExZHpZckZqZFo5TGFqbzItRmZnU0ZRUGhfc1V0cEJDcmhOdzdTX3lWZ1luYUZvWXR2TjY0Q3cwNGl3ZHVuOW10VXFrYld5QjFUc1czMUNtYjFYME5nTQ?oc=5
스위스 국립공원,Swiss National Park,스위스,유럽,한국어,기타,2026-04-10,"여수 가볼 만한 곳, 아쿠아리움과 크루즈가 선사하는 바다의 향연","스위스 BARTHOLET사의 최신 기술과 포르쉐 디자인 스튜디오의 협업으로 탄생한 케이블카는 여수 전역의... 한려해상국립공원 오동도 지구 내에 위치하여 주변 경관이 아름답고, 해안도로를 따라 드라이브를 즐기거나...",joongangenews.com,https://www.joongangenews.com/news/articleView.html?idxno=510770
그랜드티턴 국립공원,Grand Teton National Park,미국,북아메리카,영어,자원보전,2026-04-10,Robotic birds have landed in Grand Teton National Park,,SFGATE,https://news.google.com/rss/articles/CBMijwFBVV95cUxNUHJiUl9tRmg3NmNRWGk5cmFPaE5FZUpYalZXUzc2ZW5SR3BsczZSTmEzQVdYTVVXYWtxbjFNanZCdnd0bklJSUZtS3lPaVdzbC1WdHZEeXJ0VURvOC1jQzZrUklJSjhoNWlZREM2NWNvR2IzdVl0TUx0aHQxd1JSR2hBcTNiU0k0TUt0bE9VSQ?oc=5
